ID,Name,Rating,1stWk Box,Total Box
343355,恐怖电影院2,4.7,143,266
345786,银河守卫队,8.6,103,257
248918,神奇动物在哪里,8.9,28309,59079
1203287,恐怖毕业照2,5.3,72,244
246330,煎饼侠,8.5,43158,116276
1187517,火力全开,9.6,156,240
1204814,撞邪31号,6.1,140,236
839397,理查大冒险,9.1,146,234
1196172,午夜惊魂路,3.3,93,233
466744,六人晚餐,8.1,暂无,228
340946,纯洁心灵·逐梦演艺圈,6.8,5,234
79042,箭士柳白猿,7.6,240,648
1208756,真假森林王,5.7,121,228
1194409,因为爱情,6.9,186,226
345946,乡关何处,,18,222
1208672,初恋日记,8.4,145,215
1207706,夜半凶铃,3.9,105,214
1199238,心惊胆战,4.5,90,214
1170247,你在哪,7.8,184,212
1207099,老兽,7.7,176,208
345627,天梯：蔡国强的艺术,9.0,暂无,210
668587,冒牌监护人之寻宝闹翻天,7.7,128,200
1198735,辛巴达与美人鱼公主,7.0,62,226
641,麦兜当当伴我心,7.8,2162,4890
246063,美人鱼,9.0,181991,338627
246286,疯狂动物城,9.5,15517,152770
78421,魔兽,9.0,102810,146887
246234,美国队长3,8.6,62685,124397
79202,西游记之孙悟空三打白骨精,7.7,76881,119854
338391,湄公河行动,9.3,16541,118301
248006,澳门风云3,6.9,79158,111636
79203,盗墓笔记,8.0,47799,100293
78535,功夫熊猫3,9.0,33943,100054
246267,长城,8.4,47125,117301
246970,奇幻森林,8.9,31812,97669
246307,绝地逃亡,8.5,40634,88758
246390,从你的全世界路过,8.6,31122,81326
78536,星球大战：原力觉醒,8.2,34766,81059
246177,X战警：天启,8.9,38490,80080
247575,北京遇上西雅图之不二情书,8.5,35492,78529
76365,叶问3,8.4,44219,76936
246124,奇异博士,8.9,29979,75013
247300,唐人街探案,9.0,39792,81899
341289,寒战2,8.6,29846,67654
246333,惊天魔盗团2,8.5,28777,63768
78439,蝙蝠侠大战超人：正义黎明,8.0,37246,61821
334722,使徒行者,8.8,24045,60538
248918,神奇动物在哪里,8.9,28309,59079
344881,你的名字。,9.2,28653,57558
246591,大鱼海棠,8.4,22719,56406
246188,愤怒的小鸟,8.7,19741,51294
246375,独立日：卷土重来,8.4,23994,50217
341749,我不是潘金莲,7.8,20548,48279
78637,冰川时代5：星际碰撞,8.7,28505,44659
249875,谍影重重5,8.3,32795,44648
246461,星际迷航3：超越星辰,8.6,20648,44021
246211,老炮儿,9.1,25311,89900
248916,铁道飞虎,8.5,21708,69929
246388,摆渡人,7.8,28074,48256
13511,忍者神龟2：破影而出,8.6,17012,39263
338351,爱宠大机密,9.0,19432,38862
248680,爱丽丝梦游仙境2：镜中奇遇记,8.5,17700,38625
248616,爵迹,7.8,19795,38252
247220,荒野猎人,8.5,20879,37673
341515,火锅英雄,8.3,14077,36995
247259,大话西游3,7.0,25103,36552
338349,血战钢锯岭,9.3,11762,42578
248896,伦敦陷落,8.5,15943,33909
338443,机械师2：复活,8.7,16630,33839
246575,致青春·原来你还在这里,7.7,17857,33614
246152,我的特工爷爷,8.0,16833,32399
78701,寻龙诀,9.1,59973,167858
341240,泰山归来：险战丛林,8.5,18304,30538
341750,熊出没之熊心归来,9.1,10571,28754
247186,封神传奇,6.2,20126,28329
246897,微微一笑很倾城,8.3,12240,27546
345257,王牌逗王牌,7.6,64,10714
246366,海底总动员2：多莉去哪儿,8.5,11960,25369
338412,神战：权力之眼,8.5,13020,23496
246222,海洋奇缘,9.1,8546,22667
338506,赏金猎人,8.4,11748,21307
341655,反贪风暴2,8.3,11937,20889
341603,陆垚知马俐,8.5,10619,19166
247401,最后的巫师猎人,8.3,6212,17962
246582,谁的青春不迷茫,8.6,9963,17960
410612,驴得水,8.5,5829,17277
247713,危城,8.2,9111,16714
341120,七月与安生,8.7,7234,16674
247736,比利·林恩的中场战事,8.3,8067,16492
343761,神探夏洛克：可恶的新娘,7.6,13557,16023
246231,夏有乔木 雅望天堂,8.0,8950,15626
246430,圆梦巨人,8.4,9122,14302
341502,追凶者也,8.5,7834,13563
248911,但丁密码,8.1,8532,13403
342795,高跟鞋先生,8.2,2969,12970
343413,28岁未成年,8.5,7278,12920
248881,睡在我上铺的兄弟,8.2,6883,12761
342871,极限挑战之皇家宝藏,5.8,7759,12531
338406,分歧者3：忠诚世界,8.0,6475,12190
246373,佩小姐的奇幻城堡,8.6,6938,11816
246261,罗曼蒂克消亡史,7.6,6585,12278
248553,惊天破,7.2,7998,11414
248876,九条命,8.6,5506,11188
1188324,情圣,8.6,17207,65790
344902,航海王之黄金城,9.0,6978,10716
247184,猎神：冬日之战,7.7,6902,10608
